location_clean,matched_events,unique_dates,mean_h2s_ppb,median_h2s_ppb,max_h2s_ppb,orange_h2s_events,mean_wind_speed_mph,median_wind_speed_mph,max_wind_gust_mph,mean_temperature_f,mean_dewpoint_f,mean_visibility_miles
NESTOR - BES,31,9,46.15483870967743,16.7,295.6,7,3.022755361333461,2.7961750000000003,9.932013727998736,57.71097022271929,52.23141503118703,7.5980656466265275
SAN YSIDRO,20,4,21.525,18.35,45.5,4,2.963945470833622,2.2033858653336766,13.287423727998734,59.92340087890629,52.15189758300785,7.996849640225186
IB CIVIC CTR,9,3,16.22222222222222,15.5,27.9,0,3.4424021170369787,3.6685815680003167,7.985875650668145,57.71599243164067,50.28200805664067,7.013641202811919
