priority_category,grid_cells,total_area_sq_km,min_score,median_score,mean_score,max_score,percent_grid_cells,percent_area
Low,1001,882.3135647416469,0.0,0.0,0.0,0.0,50.99,49.74
Moderate-Low,241,212.28294069137834,1.994461898852507e-06,0.0010403015820175496,0.001629393992576495,0.01034099732321847,12.28,11.97
Moderate,240,222.77992540417634,0.010881569003939365,0.04441531276439657,0.045542709880826635,0.08460653298754348,12.23,12.56
Moderate-High,240,223.57404947861102,0.08466055736953398,0.13715311244297623,0.14675279850930767,0.25786803626813837,12.23,12.6
High,241,233.02349759180368,0.2593922613256091,0.44662583971884107,0.46448872635637534,0.7940632117276792,12.28,13.14
