tract_index,dist_to_nearest_h2s_km,dist_to_top_closure_beach_km,h2s_proximity_category
0,8.523807628877504,16.337444845361,5-10 km
1,8.702065083735661,3.9417603787291546,5-10 km
2,9.863543172866004,11.52854494580003,5-10 km
3,19.26554983410993,13.149334288643571,10+ km
4,18.994654365863425,12.999222923799744,10+ km
5,14.844192208590954,12.198114913610867,10+ km
6,15.68376421502076,13.51512900282126,10+ km
7,19.08706018441022,15.08538235396282,10+ km
8,16.97316070336859,11.272242588834423,10+ km
9,20.52514301261948,19.042593683101828,10+ km
10,1.5079806723105582,3.4141187590890825,1-3 km
11,17.909796956828302,11.581346139443852,10+ km
12,9.464211562043886,7.138522071126871,5-10 km
13,16.732992048815248,10.546362490833165,10+ km
14,11.845976716473604,10.3540356259948,10+ km
15,9.216316969139868,12.267233569211447,5-10 km
16,10.448415818059258,13.613410216062887,10+ km
17,11.621849162896355,14.131664415066957,10+ km
18,13.07023102827072,15.131285939281092,10+ km
19,12.414960663490838,15.571121900582002,10+ km
20,18.095354457475683,12.090342847588001,10+ km
21,17.944532113891825,12.068988622470554,10+ km
22,18.81896139108359,16.587542884417793,10+ km
23,21.194185907696156,20.21918452550579,10+ km
24,20.092350293080806,19.72568781376398,10+ km
25,25.2568283484216,24.874481856656423,10+ km
26,17.83176585746156,12.100794406703864,10+ km
27,17.64749155838107,12.095492801838933,10+ km
28,18.47821831535204,17.27299757868247,10+ km
29,17.702721950725916,16.16846600013339,10+ km
30,16.71931210383317,15.428772777211115,10+ km
31,17.491026694375186,16.669780048595737,10+ km
32,18.598081892779152,15.855228395081625,10+ km
33,17.499478041164124,15.241158369078606,10+ km
34,16.99827594785217,14.275879821913588,10+ km
35,15.997162914931508,13.296281102965795,10+ km
36,17.01864165883605,13.808649846223776,10+ km
37,18.570583347141014,13.047796276943092,10+ km
38,27.869436531583293,34.36813510521265,10+ km
39,13.43705620742027,7.114499484070678,10+ km
40,18.857162671016138,12.740480704670338,10+ km
41,20.840347781459762,14.51041737280485,10+ km
42,18.15776781016078,14.752198465747654,10+ km
43,19.385325827852395,15.66994586858263,10+ km
44,21.715331840975708,19.482226334522522,10+ km
45,11.784715374786316,11.298708670368024,10+ km
46,12.267607660794402,6.2649694241480605,10+ km
