grid_id,priority_category,monitoring_priority_score,centroid_lon,centroid_lat,cell_area_sq_km,h2s_proximity_score,river_proximity_score,impacted_beach_proximity_score,top_closure_beach_proximity_score,beach_closure_intensity_score,h2s_severity_score,dist_to_nearest_h2s_station_km,dist_to_tijuana_river_km,dist_to_nearest_impacted_beach_km,dist_to_nearest_top_closure_beach_km,nearby_beach_closure_intensity_5km,nearby_h2s_max_ppb_intensity_5km,nearby_h2s_orange_event_intensity_5km
grid_0178,High,0.7940632117276792,-117.12799184222509,32.58561351730774,1.0,0.8595101492951769,0.0,0.9524345605354495,0.9524345605354495,1.0,1.0,1.4048985070482314,32.94316573445122,0.47565439464550474,0.47565439464550474,1771.8762813999763,105.48816872831006,2.0229787441930798
grid_0134,High,0.7880375197936306,-117.1283138891796,32.57658577800432,1.0,0.8316413858531093,0.0,0.9482918664543372,0.9482918664543372,1.0,1.0,1.6835861414689075,32.93071892969937,0.5170813354566283,0.5170813354566283,2156.0925752054754,106.03664328012749,2.072792211253951
grid_0093,High,0.778783147044715,-117.12863586394009,32.56755791733596,1.0,0.7613541373418349,0.0,0.9556723724632276,0.9556723724632276,1.0,1.0,2.386458626581651,32.94863168397436,0.44327627536772457,0.44327627536772457,2376.103748512699,87.91515853734862,1.7365398637202962
grid_0179,High,0.7773270560204656,-117.11736277205415,32.585339454584364,1.0,0.9590858441102227,0.0,0.8524382460062858,0.8524382460062858,1.0,1.0,0.40914155889777276,31.943559240321182,1.4756175399371418,1.4756175399371418,1468.6733760488219,168.8851379536615,3.392682797585174
grid_0177,High,0.775782018239488,-117.13862098461432,32.585886567816054,1.0,0.7595819720778951,0.0,0.9475550686795167,0.9475550686795167,1.0,1.0,2.4041802792210483,33.94279541044216,0.524449313204833,0.524449313204833,1752.9786750147775,41.51380235612247,0.6400673146117437
grid_0133,High,0.7710368202628762,-117.1389418411413,32.57685880154323,1.0,0.7423024001734744,0.0,0.9419592607018918,0.9419592607018918,1.0,1.0,2.5769759982652563,33.93071530183931,0.5804073929810819,0.5804073929810819,2076.429246872638,42.19254230725691,0.6789732024460056
grid_0135,High,0.7670165413195104,-117.1176860094119,32.57631174234991,1.0,0.8986037823261087,0.0,0.8517477327954772,0.8517477327954772,1.0,1.0,1.013962176738913,31.930722784792195,1.4825226720452285,1.4825226720452285,1781.7721464093102,168.4258913267027,3.4617273406980402
grid_0223,High,0.7667992009597588,-117.12766972305228,32.59464113543533,1.0,0.8235625511840943,0.0,0.8886163272872298,0.8886163272872298,1.0,1.0,1.7643744881590568,32.98593773092076,1.1138367271277012,1.1138367271277012,1351.8322456691458,85.52627397490447,1.5977685566029232
grid_0092,High,0.7624111856175254,-117.13926262574063,32.567830913917234,1.0,0.6917545170440444,0.0,0.9413562983305543,0.9413562983305543,1.0,1.0,3.0824548295595555,33.94810041097751,0.5864370166944571,0.5864370166944571,2270.362956718416,28.161308823928522,0.41349745402603477
grid_0224,High,0.7547293580434823,-117.11703946221164,32.59436704563115,1.0,0.8856901432693801,0.0,0.821343002495757,0.821343002495757,1.0,1.0,1.1430985673061989,31.98766787873992,1.7865699750424304,1.7865699750424304,1112.9817712729132,140.8401031002163,2.8255417853196696
grid_0094,High,0.7527510704764969,-117.1180091743093,32.5672839087387,1.0,0.8027985350841194,0.0,0.8568539438874312,0.8568539438874312,1.0,1.0,1.9720146491588064,31.949196205516444,1.4314605611256883,1.4314605611256883,1983.941111127017,143.8671064812327,3.006754524914654
grid_0060,High,0.7466354280436316,-117.12895776653082,32.55852993511351,1.0,0.6751014426466964,0.0,0.902355562807547,0.902355562807547,1.0,1.0,3.2489855735330364,32.99685455411679,0.9764443719245298,0.9764443719245298,2216.2860111799414,55.36236496763944,1.0796411748162262
