station_id,station_name,station_name_clean,beach_name,beach_name_clean,study_group,impact_level,station_lat,station_lon,active_advisory_record_days,active_closure_record_days,active_posting_record_days,active_bacteria_related_record_days,active_tijuana_river_related_record_days,active_sewage_infrastructure_record_days,active_sewage_related_record_days
398,EH-510,EH-510,USMC Camp Pendleton,USMC Camp Pendleton,Other San Diego Beaches,1,33.3805,-117.5785,56,0,56,56,0,0,0
399,EH-520,EH-520,San Onofre State Beach,San Onofre State Beach,Other San Diego Beaches,1,33.3855,-117.5952,30,0,30,30,0,0,0
401,EN-020,EN-020,South Carlsbad State Beach,South Carlsbad State Beach,Other San Diego Beaches,1,33.106306,-117.321583,2,0,2,2,0,0,0
402,EN-030,EN-030,South Carlsbad State Beach,South Carlsbad State Beach,Other San Diego Beaches,1,33.11572,-117.3255,2,0,2,2,0,0,0
404,EN-050,EN-050,South Carlsbad State Beach,South Carlsbad State Beach,Other San Diego Beaches,1,33.1285,-117.333806,6,0,6,6,0,0,0
409,FM-010,FM-010,"Dog Beach, O.B.","Dog Beach, O.B.",Other San Diego Beaches,1,32.7561,-117.253576204,622,0,622,622,0,0,0
409,FM-010,FM-010,"Dog Beach, O.B.","Dog Beach, O.B.",Other San Diego Beaches,2,32.7561,-117.253576204,7,7,0,0,0,7,7
410,FM-020,FM-020,Pacific Beach,Pacific Beach,Comparison Beaches,2,32.7961,-117.2573,2,2,0,0,0,2,2
411,FM-030,FM-030,Tourmaline Surfing Park,Tourmaline Surfing Park,Comparison Beaches,1,32.805,-117.2628,192,0,192,192,0,0,0
413,FM-050,FM-050,WindanSea Beach,WindanSea Beach,Other San Diego Beaches,1,32.8299,-117.2807,3,0,3,3,0,0,0
415,FM-070,FM-070,La Jolla Cove,La Jolla Cove,Comparison Beaches,1,32.85045,-117.2727,604,0,604,604,0,0,0
416,FM-080,FM-080,La Jolla Shores Beach,La Jolla Shores Beach,Comparison Beaches,1,32.8548,-117.2598,169,0,169,169,0,0,0
418,FM-100,FM-100,Torrey Pines State Beach,Torrey Pines State Beach,Other San Diego Beaches,1,32.9345,-117.261955166,78,0,78,78,0,0,0
455,IB-010,IB-010,Border Field State Park,Border Field State Park,South Bay / Tijuana River Impact,2,32.53595,-117.1243,1159,1159,0,1159,1159,0,1159
459,IB-050,IB-050,"Imperial Beach municipal beach, other","Imperial Beach municipal beach, other",South Bay / Tijuana River Impact,1,32.566577296,-117.133205028,69,0,69,69,0,0,0
459,IB-050,IB-050,"Imperial Beach municipal beach, other","Imperial Beach municipal beach, other",South Bay / Tijuana River Impact,2,32.566577296,-117.133205028,1081,1081,0,943,1079,0,1079
460,IB-060,IB-060,north Imperial Beach,north Imperial Beach,South Bay / Tijuana River Impact,1,32.585678574,-117.133049366,77,0,77,77,0,0,0
460,IB-060,IB-060,north Imperial Beach,north Imperial Beach,South Bay / Tijuana River Impact,2,32.585678574,-117.133049366,473,473,0,468,473,0,473
461,IB-070,IB-070,Silver Strand State Beach,Silver Strand State Beach,South Bay / Tijuana River Impact,1,32.6358,-117.14317,226,0,226,226,0,0,0
461,IB-070,IB-070,Silver Strand State Beach,Silver Strand State Beach,South Bay / Tijuana River Impact,2,32.6358,-117.14317,817,817,0,565,817,0,817
462,IB-080,IB-080,Coronado City beaches,Coronado City beaches,South Bay / Tijuana River Impact,1,32.6775,-117.17727,22,0,22,16,6,0,6
462,IB-080,IB-080,Coronado City beaches,Coronado City beaches,South Bay / Tijuana River Impact,2,32.6775,-117.17727,103,103,0,49,103,0,103
481,MB-015,MB-015,Mission Bay,Mission Bay,Comparison Beaches,1,32.777266,-117.216636,37,0,37,37,0,0,0
481,MB-015,MB-015,Mission Bay,Mission Bay,Comparison Beaches,2,32.777266,-117.216636,2,2,0,0,0,2,2
484,MB-031,MB-031,Mission Bay,Mission Bay,Comparison Beaches,2,32.7713,-117.2098,4,4,0,0,0,4,4
486,MB-041,MB-041,Tecolote Shores,Tecolote Shores,Other San Diego Beaches,1,32.7732,-117.21,190,0,190,190,0,0,0
486,MB-041,MB-041,Tecolote Shores,Tecolote Shores,Other San Diego Beaches,2,32.7732,-117.21,6,6,0,0,0,6,6
490,MB-053,MB-053,"Mission Bay, Leisure Lagoon","Mission Bay, Leisure Lagoon",Comparison Beaches,1,32.784102,-117.209331,137,0,137,137,0,0,0
494,MB-070,MB-070,"Mission Bay, De Anza Cove","Mission Bay, De Anza Cove",Comparison Beaches,1,32.7969,-117.2119,101,0,101,101,0,0,0
496,MB-080,MB-080,"Mission Bay, Campland On The Bay","Mission Bay, Campland On The Bay",Comparison Beaches,1,32.7949,-117.2213,248,0,248,248,0,0,0
496,MB-080,MB-080,"Mission Bay, Campland On The Bay","Mission Bay, Campland On The Bay",Comparison Beaches,2,32.7949,-117.2213,3,3,0,3,0,0,0
497,MB-085,MB-085,Mission Bay,Mission Bay,Comparison Beaches,1,32.78847,-117.217833,200,0,200,200,0,0,0
500,MB-100,MB-100,Mission Bay,Mission Bay,Comparison Beaches,1,32.7823,-117.2325,109,0,109,109,0,0,0
